STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WESF,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/16/2000,,,0,0,0,57,66,48,,0,,1,,,,,,,1,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/17/2000,,,0.23,0,0,47,49,45,,0,,1,,,,,,,,,,1,1,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/18/2000,,,0,0,0,50,57,43,,0,,1,,,,,,,1,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/19/2000,,,0.16,0,0,55,59,51,,0,,1,,1,,,,,1,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/20/2000,,,0.97,0,0,55,62,48,,0,,1,,1,,,,,,,,1,1,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/21/2000,,,0.08,0,0,45,48,42,,0,,1,,,,,,,,,,1,1,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/22/2000,,,0,0,0,52,62,41,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/23/2000,,,0.02,0,0,47,60,34,,0,,,,,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/24/2000,,,0,0,0,57,66,47,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/25/2000,,,0,0,0,52,65,38,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/26/2000,,,0,0,0,49,64,33,0,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/27/2000,,,0,0,0,51,65,37,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/28/2000,,,0,0,0,51,65,37,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/29/2000,,,0,0,0,56,71,41,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/30/2000,,,0,0,0,58,73,43,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/1/2000,,,0.79,0,0,58,67,48,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/2/2000,,,0,0,0,55,68,41,,0,,1,1,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/3/2000,,,0,0,0,62,75,48,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/4/2000,,,0,0,0,71,80,62,,0,,1,,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/5/2000,,,0,0,0,71,82,59,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/6/2000,,,0,0,0,72,85,58,,0,,1,,,,,,,1,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/7/2000,,,0.05,0,0,73,82,63,,0,,,,,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/8/2000,,,0,0,0,76,86,65,,0,,1,,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/9/2000,,,1.13,0,0,72,81,62,,0,,1,,1,,,,,,,1,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",5/10/2000,,,0,0,0,57,65,49,,0,,1,,,,,,,,,,1,1,,1,,,,,
